Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,NOTES,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A1,12500,,ATP,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A2,10000,,A ,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A3,7500,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A4,5000,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A5,2500,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A6,1250,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A7,625,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A8,500,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A9,375,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A10,250,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A11,125,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],A12,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B1,1250,,ATP - B,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B2,1000,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B3,750,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B4,500,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B5,250,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B6,125,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B7,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B8,50,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B9,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B10,25,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B11,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],B12,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C1,125,,atp - C,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C2,100,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C3,75,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C4,50,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C5,25,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C6,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C7,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C8,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C9,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C10,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C11,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],C12,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D1,0,,ATP-D,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D2,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D3,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D4,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D5,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D6,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D7,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D8,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D9,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D10,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D11,0,,,
Source[1],384PP_AQ_BP,A1,,,,,Destination[1],D12,0,,,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A1,0,,ADP - A,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A2,2500,,,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A3,5000,,,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A4,7500,,,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A5,10000,,,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A6,11250,,,
Source[1],384PP_AQ_BP,A2,,,,,Destination[1],A7,11875,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],A8,12000,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],A9,12125,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],A10,12250,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],A11,12375,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],A12,12500,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B1,0,,ADP - B,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B2,250,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B3,500,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B4,750,,,70000
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B5,1000,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B6,1125,,,21875
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B7,0,,,1075
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B8,1200,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B9,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B10,1225,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B11,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],B12,1250,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C1,0,,ADP - C,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C2,25,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C3,50,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C4,75,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C5,100,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C6,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C7,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C8,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C9,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C10,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C11,0,,,
Source[1],384PP_AQ_BP,A3,,,,,Destination[1],C12,125,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A1,5000,,ADP GLO,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A2,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A3,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A4,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A5,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A6,5000,,70000,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A7,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A8,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A9,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A10,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A11,5000,,,
Source[1],384PP_AQ_BP,A4,,,,,Destination[1],A12,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B1,5000,,75000,SWITCH WELLS HERE
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B2,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B3,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B4,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B5,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B6,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B7,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B8,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B10,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],B12,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],C1,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],C2,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],C3,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],C4,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],C5,5000,,,
Source[1],384PP_AQ_BP,A5,,,,,Destination[1],C12,5000,,,