Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],D1,9325,water,SETUP1,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],D2,2625,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],D3,1450,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],D4,6125,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],D5,7000,,,nL,uL,,ADD
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],D2,4375,buffer,water C1,26525,26.525,79.575,94.575
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],D3,4375,,buffer c2,13125,13.125,39.375,54.375
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],D4,4375,,dna c3,2350,2.35,7.05,22.05
Source[1],384PP_AQ_BP,C4,,,,,Destination[1],D1,1175,DNA,,,,,
Source[1],384PP_AQ_BP,C4,,,,,Destination[1],D3,1175,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],E1,9325,water,SETUP2,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],E2,2625,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],E3,1450,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],E4,6125,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],E5,7000,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],E2,4375,buffer,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],E3,4375,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],E4,4375,,,,,,
Source[1],384PP_AQ_BP,C4,,,,,Destination[1],E1,1175,DNA,,,,,
Source[1],384PP_AQ_BP,C4,,,,,Destination[1],E3,1175,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],F1,9325,WATER,SETUP 2,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],F2,2625,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],F3,1450,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],F4,6125,,,,,,
Source[1],384PP_AQ_BP,C1,,,,,Destination[1],F5,7000,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],F2,4375,BUFFER,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],F3,4375,,,,,,
Source[1],384PP_AQ_BP,C2,,,,,Destination[1],F4,4375,,,,,,
Source[1],384PP_AQ_BP,C4,,,,,Destination[1],F1,1175,DNA,,,,,
Source[1],384PP_AQ_BP,C4,,,,,Destination[1],F3,1175,,,,,,